Mean Temp (°C),Total Precip (mm),Total Rain (mm),Total Snow (cm),Snow on Grnd (cm),New_cases,New_hospitalized,New_icu,First_day,Stayhome_Order,std_sd_score
12.68,0.0,0.0,0.0,0.4,293.0,9.0,0.0,0.0,1.0,37.52122241086588
9.74,0.0,0.0,0.0,0.4,401.0,5.0,0.0,0.0,1.0,39.21901528013582
8.1,0.0,0.0,0.0,0.4,407.0,6.0,1.0,0.0,1.0,20.37351443123939
10.52,0.0,0.0,0.0,0.4,365.0,-1.0,2.0,0.0,1.0,19.35483870967742
10.96,0.0,0.0,0.0,0.4,425.0,2.0,-1.0,0.0,1.0,40.57724957555178
12.64,0.12,0.12,0.0,0.4,478.0,17.0,0.0,0.0,1.0,40.57724957555178
18.119999999999997,0.0,0.0,0.0,0.4,335.0,6.0,0.0,0.0,0.0,40.0679117147708
17.639999999999997,0.78,0.78,0.0,0.4,409.0,0.0,3.0,0.0,0.0,42.444821731748725
17.48,0.0,0.0,0.0,0.4,409.0,-1.0,-2.0,0.0,0.0,37.86078098471987
18.6,0.0,0.0,0.0,0.4,435.0,13.0,3.0,0.0,0.0,15.619694397283531
21.82,0.0,0.0,0.0,0.4,491.0,12.0,0.0,0.0,0.0,19.015280135823428
20.18,7.26,1.6800000000000002,0.0,0.4,700.0,16.0,1.0,0.0,0.0,43.97283531409168
15.36,2.38,2.38,0.0,0.4,554.0,9.0,-1.0,0.0,0.0,46.349745331069606
13.460000000000003,6.02,5.279999999999999,0.0,0.4,625.0,13.0,5.0,0.0,0.0,52.63157894736842
12.64,1.1199999999999999,0.8400000000000001,0.0,0.4,538.0,12.0,2.0,0.0,0.0,44.99151103565365
8.92,1.6,1.56,0.0,0.4,732.0,5.0,3.0,0.0,0.0,48.55687606112054
7.580000000000001,0.8400000000000001,0.8400000000000001,0.0,0.4,653.0,-12.0,3.0,0.0,0.0,27.164685908319186
9.36,4.58,2.7600000000000002,0.0,0.4,566.0,14.0,1.0,0.0,0.0,45.16129032258064
10.239999999999998,0.6799999999999999,0.6799999999999999,0.0,0.4,615.0,7.0,0.0,0.0,0.0,45.16129032258064
11.84,0.0,0.0,0.0,0.4,548.0,16.0,-3.0,0.0,0.0,45.50084889643464
13.319999999999999,3.8,3.08,0.0,0.4,583.0,3.0,3.0,0.0,0.0,51.44312393887945
9.26,0.16,0.16,0.0,0.4,797.0,11.0,5.0,0.0,0.0,44.99151103565365
